statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;622;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;7474;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;2892;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;12518;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;80;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;940;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;64;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;24;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;07;Rheinland-Pfalz;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;6;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;2443;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;214;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;18;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;9494;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;5;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;06;Hessen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;535;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;538;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;14;Sachsen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;0;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;17280;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;04;Bremen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;13384;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;03;Niedersachsen;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;3;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;523;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;08;Baden-Württemberg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;16;Thüringen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;05;Nordrhein-Westfalen;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;112900;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;01;Schleswig-Holstein;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;496;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;12;Brandenburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;21619;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;02;Hamburg;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;SLDOEFFHH02;Debt owed to public budgets;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;15;Sachsen-Anhalt;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2008-12-31;DLAND;Länder;13;Mecklenburg-Vorpommern;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;10;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2007-12-31;DLAND;Länder;11;Berlin;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
71321;Annual debt of the overall public budget;STAG;Reference date;2009-12-31;DLAND;Länder;10;Saarland;KRPGR6;Groups of public corporations;KRPGEMEIN01;Municipalities / associations of municipalities;HSHAT1;Budgets;HSHEXTRA;Extra budgets;SLD007;Types of debts;SLDKREDIT02;Credit market debt;1;EUR mn;SLD001;Debts;e
71321;Annual debt of the overall public budget;STAG;Reference date;2006-12-31;DLAND;Länder;09;Bayern;KRPGR6;Groups of public corporations;KRPLAENDER01;Länder;HSHAT1;Budgets;HSHKERN;Core budgets;SLD007;Types of debts;KDTKASSVERST01;Loans for strengthening cash resources;-;EUR mn;SLD001;Debts;
